from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_route_id,to_route_id,from_trip_id,to_trip_id
070101051445,070101051445,2,120,,,,
070101051445,de:11000:900009102::9,2,120,,,,
070101051445,de:11000:900009102::6,2,120,,,,
de:12060:900350160::4,de:12060:900350160::4,2,240,,,,
de:12065:900200009::1,de:12065:900200009::1,2,180,,,,
de:12060:900350163::1,de:12060:900350163::1,2,180,,,,
de:12065:900200005::1,de:12065:900200005::1,2,180,,,,
de:12065:900200007::1,de:12065:900200007::1,2,180,,,,
de:12065:900200006::1,de:12065:900200006::1,2,180,,,,
de:11000:900009102::9,070101051445,2,120,,,,
de:11000:900009102::9,de:11000:900009102::9,2,120,,,,
de:11000:900009102::9,de:11000:900009102::9,1,,17470_700,17476_700,,
de:11000:900009102::9,de:11000:900009102::6,2,120,,,,
de:11000:900009102::6,070101051445,2,120,,,,
de:11000:900009102::6,de:11000:900009102::9,2,120,,,,
de:11000:900009102::6,de:11000:900009102::6,2,120,,,,
de:11000:900175006::3,de:11000:900175006::3,2,120,,,,
de:11000:900175006::3,de:11000:900175006::4,2,120,,,,
de:11000:900175006::4,de:11000:900175006::3,2,120,,,,
de:11000:900175006::4,de:11000:900175006::4,2,120,,,,
de:11000:900175004::3,de:11000:900175004::3,2,120,,,,
de:11000:900175004::3,de:11000:900175004::7,2,120,,,,
de:11000:900088202::4,de:11000:900088202::4,2,120,,,,
de:11000:900088202::4,de:11000:900088202::5,2,120,,,,
de:11000:900086102::5,de:11000:900086102::5,2,120,,,,
de:11000:900086102::5,de:11000:900086102::5,1,,17447_700,17470_700,,
de:11000:900086102::5,de:11000:900086102::5,1,,17470_700,17447_700,,
de:11000:900086102::5,de:11000:900086102::4,2,120,,,,
de:11000:900086102::5,de:11000:900086102::4,1,,17303_700,17303_700,,
de:11000:900086102::5,de:11000:900086102::4,1,,17303_700,17355_700,,
de:11000:900086102::5,de:11000:900086102::4,1,,17355_700,17303_700,,
de:11000:900086102::5,de:11000:900086102::4,1,,17355_700,17355_700,,
de:11000:900011102::4,de:11000:900011102::4,2,120,,,,
de:11000:900011102::4,de:11000:900011102::5,2,120,,,,
de:11000:900011102::5,de:11000:900011102::4,2,120,,,,
de:11000:900011102::5,de:11000:900011102::5,2,120,,,,
de:11000:900011101::3,de:11000:900011101::3,2,120,,,,
de:11000:900011101::3,de:11000:900011101::4,2,120,,,,
de:11000:900011101::4,de:11000:900011101::3,2,120,,,,
de:11000:900011101::4,de:11000:900011101::4,2,120,,,,
de:11000:900025321::1,de:11000:900025321::1,2,180,,,,
de:11000:900171003::4,de:11000:900171003::4,2,180,,,,
de:11000:900152001::4,de:11000:900152001::4,2,180,,,,
de:11000:900151001::2,de:11000:900151001::2,2,180,,,,
de:11000:900152002::1,de:11000:900152002::1,2,180,,,,
de:11000:900024106::1,de:11000:900024106::1,2,180,,,,
de:11000:900058102::2,de:11000:900058102::2,2,180,,,,
de:11000:900026105::2,de:11000:900026105::2,2,180,,,,
de:11000:900048101::1,de:11000:900048101::1,2,180,,,,
de:11000:900024101::1,de:11000:900024101::1,2,240,,,,
de:11000:900073101::3,de:11000:900073101::3,2,180,,,,
de:11000:900068301::2,de:11000:900068301::2,2,180,,,,
de:11000:900063452::1,de:11000:900063452::1,2,180,,,,
de:11000:900074202::1,de:11000:900074202::1,2,180,,,,
de:11000:900094101::4,de:11000:900094101::4,2,180,,,,
de:11000:900092201::2,de:11000:900092201::2,2,180,,,,
de:11000:900182002::4,de:11000:900182002::4,2,180,,,,
de:11000:900182002::4,de:11000:900182002::4,2,300,11701_700,11701_700,,
de:11000:900182002::4,de:11000:900182002::4,1,,17417_900,17418_900,,
de:11000:900182002::4,de:11000:900182002::4,1,,17418_900,17417_900,,
de:11000:900183001::1,de:11000:900183001::1,2,180,,,,
de:11000:900135001::1,de:11000:900135001::1,2,180,,,,
de:11000:900135001::1,de:11000:900135001::1,1,,17319_700,17323_700,,
de:11000:900135001::1,de:11000:900135001::1,1,,17319_700,17369_700,,
de:11000:900135001::1,de:11000:900135001::1,1,,17323_700,17319_700,,
de:11000:900135001::1,de:11000:900135001::1,1,,17323_700,17369_700,,
de:11000:900135001::1,de:11000:900135001::1,1,,17369_700,17319_700,,
de:11000:900135001::1,de:11000:900135001::1,1,,17369_700,17323_700,,
de:11000:900086102::4,de:11000:900086102::5,2,120,,,,
de:11000:900086102::4,de:11000:900086102::5,1,,17303_700,17303_700,,
de:11000:900086102::4,de:11000:900086102::5,1,,17303_700,17355_700,,
de:11000:900086102::4,de:11000:900086102::5,1,,17355_700,17303_700,,
de:11000:900086102::4,de:11000:900086102::5,1,,17355_700,17355_700,,
de:11000:900086102::4,de:11000:900086102::4,2,120,,,,
de:11000:900086102::4,de:11000:900086102::4,1,,17303_700,17355_700,,
de:11000:900086102::4,de:11000:900086102::4,1,,17355_700,17303_700,,
de:11000:900182003::3,de:11000:900182003::3,2,180,,,,
de:11000:900183003::8,de:11000:900183003::8,2,180,,,,
de:11000:900089391::1,de:11000:900089391::1,2,120,,,,
de:11000:900181513::3,de:11000:900181513::3,2,180,,,,
de:11000:900180009::7,de:11000:900180009::7,2,180,,,,
de:11000:900180512::1,de:11000:900180512::1,2,180,,,,
de:12065:900200025::1,de:12065:900200025::1,2,180,,,,
de:12065:900203411::1,de:12065:900203411::1,2,180,,,,
de:11000:900181003::3,de:11000:900181003::3,2,180,,,,
de:11000:900135506::1,de:11000:900135506::1,2,180,,,,
de:11000:900072102::1,de:11000:900072102::1,2,180,,,,
de:11000:900093156::1,de:11000:900093156::1,2,180,,,,
de:11000:900175001::9,de:11000:900175001::9,2,180,,,,
de:11000:900175001::9,de:11000:900175001::4,2,120,,,,
de:11000:900175001::9,de:11000:900175001::12,2,120,,,,
de:11000:900175001::4,de:11000:900175001::9,2,120,,,,
de:11000:900175001::4,de:11000:900175001::4,2,120,,,,
de:11000:900175001::4,de:11000:900175001::12,2,120,,,,
de:11000:900182501::3,de:11000:900182501::3,2,180,,,,
de:11000:900135511::1,de:11000:900135511::1,2,180,,,,
de:12060:900350244::1,de:12060:900350244::1,2,180,,,,
de:12060:900350263::2,de:12060:900350263::2,2,180,,,,
de:12060:900350818::1,de:12060:900350818::1,2,180,,,,
de:11000:900151008::01,de:11000:900151008::01,2,180,,,,
de:11000:900092282::1,de:11000:900092282::1,2,180,,,,
de:11000:900025552::1,de:11000:900025552::1,2,180,,,,
de:11000:900025425::1,de:11000:900025425::1,2,180,,,,
de:11000:900162501::2,de:11000:900162501::2,2,180,,,,
de:11000:900086161::1,de:11000:900086161::1,2,120,,,,
de:11000:900086161::1,de:11000:900086161::2,2,120,,,,
de:11000:900086161::2,de:11000:900086161::1,2,120,,,,
de:11000:900086161::2,de:11000:900086161::2,2,120,,,,
de:11000:900171531::1,de:11000:900171531::1,2,180,,,,
de:11000:900093251::1,de:11000:900093251::1,2,180,,,,
de:11000:900171533::1,de:11000:900171533::1,2,180,,,,
de:11000:900175007::5,de:11000:900175007::5,2,120,,,,
de:11000:900175007::5,de:11000:900175007::6,2,120,,,,
de:11000:900175007::5,de:11000:900175007::12,2,120,,,,
de:11000:900175007::6,de:11000:900175007::5,2,120,,,,
de:11000:900175007::6,de:11000:900175007::6,2,120,,,,
de:11000:900175007::6,de:11000:900175007::12,2,120,,,,
de:11000:900175007::12,de:11000:900175007::5,2,120,,,,
de:11000:900175007::12,de:11000:900175007::6,2,120,,,,
de:11000:900175007::12,de:11000:900175007::12,2,120,,,,
de:11000:900175705::1,de:11000:900175705::1,2,120,,,,
de:11000:900175705::1,de:11000:900175705::2,2,120,,,,
de:11000:900175705::2,de:11000:900175705::1,2,120,,,,
de:11000:900175705::2,de:11000:900175705::2,2,120,,,,
de:12060:900350175::1,de:12060:900350175::1,2,180,,,,
de:12060:900350174::1,de:12060:900350174::1,2,180,,,,
de:11000:900088201::3,de:11000:900088201::3,2,120,,,,
de:11000:900088201::3,de:11000:900088201::9,2,120,,,,
de:11000:900088201::9,de:11000:900088201::3,2,120,,,,
de:11000:900087101::4,de:11000:900087101::4,2,120,,,,
de:11000:900087101::4,de:11000:900087101::8,2,120,,,,
de:11000:900009103::9,de:11000:900009103::9,2,120,,,,
de:11000:900009103::9,de:11000:900009103::11,2,120,,,,
de:11000:900009103::11,de:11000:900009103::9,2,120,,,,
de:11000:900009103::11,de:11000:900009103::11,2,120,,,,
de:11000:900175001::12,de:11000:900175001::9,2,120,,,,
de:11000:900175001::12,de:11000:900175001::4,2,120,,,,
de:11000:900175001::12,de:11000:900175001::12,2,120,,,,
de:11000:900171002::3,de:11000:900171002::3,2,180,,,,
de:12060:900350868::1,de:12060:900350868::1,2,180,,,,
de:12065:900200008::3,de:12065:900200008::3,2,180,,,,
de:12065:900200013::3,de:12065:900200013::3,2,180,,,,
de:11000:900089301::10,de:11000:900089301::11,2,120,,,,
de:11000:900089301::11,de:11000:900089301::10,2,120,,,,
de:11000:900088202::5,de:11000:900088202::4,2,120,,,,
de:11000:900175004::7,de:11000:900175004::3,2,120,,,,
de:12065:900203523::2,de:12065:900203523::2,2,180,,,,
de:11000:900087101::8,de:11000:900087101::4,2,120,,,,
de:12065:900203526::2,de:12065:900203526::2,2,180,,,,
de:12065:900200042::1,de:12065:900200042::1,2,180,,,,
de:12065:900203415::2,de:12065:900203415::2,2,180,,,,
de:12065:900203527::1,de:12065:900203527::1,2,180,,,,
