service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
173,0,0,0,0,0,0,0,20240404,20241214
174,0,0,0,0,0,0,0,20240404,20241214
175,0,0,0,0,0,0,0,20240404,20241214
176,0,0,0,0,0,0,0,20240404,20241214
177,0,0,0,0,0,0,0,20240404,20241214
178,0,0,0,0,0,0,0,20240404,20241214
179,0,0,0,0,0,0,0,20240404,20241214
180,0,0,0,0,0,0,0,20240404,20241214
181,0,0,0,0,0,0,0,20240404,20241214
182,0,0,0,0,0,0,0,20240404,20241214
183,0,0,0,0,0,0,0,20240404,20241214
184,0,0,0,0,0,0,0,20240404,20241214
185,0,0,0,0,0,0,0,20240404,20241214
186,0,0,0,0,0,0,0,20240404,20241214
187,0,0,0,0,0,0,0,20240404,20241214
188,0,0,0,0,0,0,0,20240404,20241214
189,0,0,0,0,0,0,0,20240404,20241214
190,0,0,0,0,0,0,0,20240404,20241214
191,0,0,0,0,0,0,0,20240404,20241214
192,0,0,0,0,0,0,0,20240404,20241214
193,1,1,1,1,1,0,0,20240404,20241214
194,0,0,0,0,0,0,0,20240404,20241214
195,0,0,0,0,0,0,0,20240404,20241214
196,1,1,1,1,1,0,0,20240404,20241214
197,0,0,0,0,0,0,0,20240404,20241214
198,0,0,0,0,0,0,0,20240404,20241214
199,0,0,0,0,0,0,0,20240404,20241214
200,0,0,0,0,0,0,0,20240404,20241214
201,0,0,0,0,0,1,0,20240404,20241214
202,0,0,0,0,0,0,0,20240404,20241214
203,0,0,0,0,0,1,0,20240404,20241214
204,0,0,0,0,0,1,0,20240404,20241214
205,0,0,0,0,0,0,0,20240404,20241214
206,0,0,0,0,0,1,1,20240404,20241214
207,0,0,0,0,0,0,0,20240404,20241214
208,0,0,0,0,0,1,1,20240404,20241214
209,0,0,0,0,0,0,0,20240404,20241214
210,0,0,0,0,0,1,1,20240404,20241214
211,0,0,0,0,0,0,0,20240404,20241214
212,1,1,1,1,1,1,1,20240404,20241214
213,0,0,0,0,0,0,0,20240404,20241214
214,0,0,0,0,0,0,0,20240404,20241214
215,1,1,1,1,1,1,0,20240404,20241214
216,0,0,0,0,0,0,0,20240404,20241214
217,0,0,0,0,0,0,0,20240404,20241214
218,1,1,1,1,1,1,1,20240404,20241214
219,0,0,0,0,0,0,0,20240404,20241214
220,0,0,0,0,0,0,0,20240404,20241214
221,1,1,1,1,0,0,1,20240404,20241214
222,0,0,0,0,0,0,0,20240404,20241214
223,0,0,0,0,1,1,0,20240404,20241214
224,0,0,0,0,0,0,0,20240404,20241214
225,0,0,0,0,0,0,0,20240404,20241214
226,0,0,0,0,0,0,0,20240404,20241214
227,1,1,1,1,0,0,1,20240404,20241214
228,0,0,0,0,0,0,0,20240404,20241214
229,1,1,1,1,0,0,1,20240404,20241214
230,0,0,0,0,0,0,0,20240404,20241214
231,0,0,0,0,0,0,0,20240404,20241214
232,1,1,1,1,0,0,1,20240404,20241214
233,0,0,0,0,0,0,0,20240404,20241214
234,0,0,0,0,0,0,0,20240404,20241214
235,1,1,1,1,0,0,1,20240404,20241214
236,0,0,0,0,0,0,0,20240404,20241214
237,0,0,0,0,0,0,0,20240404,20241214
238,0,0,0,0,0,0,0,20240404,20241214
239,0,0,0,0,1,1,0,20240404,20241214
240,0,0,0,0,0,1,1,20240404,20241214
241,0,0,0,0,0,0,1,20240404,20241214
242,0,0,0,0,1,1,0,20240404,20241214
243,0,0,0,0,0,0,0,20240404,20241214
244,1,1,1,1,1,0,0,20240404,20241214
245,0,0,0,0,0,0,0,20240404,20241214
246,0,0,0,0,0,0,0,20240404,20241214
247,0,0,0,0,0,0,0,20240404,20241214
248,1,1,1,1,1,0,0,20240404,20241214
249,1,1,1,1,1,0,0,20240404,20241214
250,0,0,0,0,0,0,0,20240404,20241214
251,0,0,0,0,0,0,0,20240404,20241214
252,1,1,1,1,1,0,0,20240404,20241214
253,0,0,0,0,0,0,0,20240404,20241214
254,0,0,0,0,0,0,0,20240404,20241214
255,0,0,0,0,0,0,0,20240404,20241214
256,1,1,1,1,1,0,0,20240404,20241214
257,0,0,0,0,0,0,0,20240404,20241214
258,0,0,0,0,0,0,0,20240404,20241214
259,0,0,0,0,0,0,0,20240404,20241214
260,1,1,1,1,1,0,0,20240404,20241214
261,1,1,1,1,1,0,0,20240404,20241214
262,0,0,0,0,0,0,0,20240404,20241214
263,0,0,0,0,0,0,0,20240404,20241214
264,0,0,0,0,0,0,0,20240404,20241214
265,1,1,1,1,1,0,0,20240404,20241214
266,1,1,1,1,1,0,0,20240404,20241214
267,0,0,0,0,0,0,0,20240404,20241214
268,1,1,1,1,1,0,0,20240404,20241214
269,1,1,1,1,1,0,0,20240404,20241214
270,0,0,0,0,0,1,0,20240404,20241214
271,0,0,0,0,0,0,1,20240404,20241214
272,0,0,0,0,0,1,1,20240404,20241214
273,0,0,0,0,0,0,0,20240404,20241214
274,1,1,1,1,1,1,1,20240404,20241214
275,0,0,0,0,0,0,0,20240404,20241214
276,0,0,0,0,0,0,0,20240404,20241214
277,0,0,0,0,0,0,0,20240404,20241214
278,0,0,0,0,0,0,0,20240404,20241214
279,1,1,1,1,1,1,1,20240404,20241214
280,1,1,1,1,1,1,1,20240404,20241214
281,1,1,1,1,1,1,1,20240404,20241214
282,0,0,0,0,0,0,0,20240404,20241214
283,0,0,0,0,0,0,0,20240404,20241214
284,1,1,1,1,0,0,1,20240404,20241214
285,0,0,0,0,1,1,0,20240404,20241214
286,0,0,0,0,0,0,0,20240404,20241214
287,1,1,1,1,1,1,1,20240404,20241214
288,0,0,0,0,0,0,0,20240404,20241214
289,1,1,1,1,0,0,1,20240404,20241214
290,0,0,0,0,0,0,1,20240404,20241214
291,0,0,0,0,0,1,0,20240404,20241214
292,0,0,0,0,0,1,0,20240404,20241214
293,0,0,0,0,0,0,0,20240404,20241214
294,0,0,0,0,0,0,1,20240404,20241214
